commonName,scientificName,briefDescription,identification,habitat,riskToHuman,dangerLevel,group,imageUrl
Chocolate Wattled Bat,Chalinolobus morio,"Flies, hanging flaps of skin on face.",Body fur brown. Ears short and rounded. Small flaps of skin (wattles) hanging on the lower lip and bases of ears. Body up to 6 cm long.,"Many areas, including forests.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites.",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/1/1b/Chalinolobus_morio.jpg
Eastern Bent-winged Bat,Miniopterus orianae oceanensis,"Dark brown or red-brown on the back, lighter underneath, high domed forehead, short muzzle, small rounded ears and long narrow wings.","A medium-sized insectivorous bat with a high domed forehead, short muzzle, small rounded ears and long narrow wings. The fur is dark brown or red-brown on the back, becoming lighter underneath. The terminal segment of the third finger is at least three times longer than the previous one and folds under the wing. Three subspecies are broadly similar in appearance, but vary in colouration and size; they are smallest in the north and largest in the south. Body length up to 6.5 cm.","Rainforest, sclerophyll forest, woodlands, monsoon forest, open grasslands, mangroves and paperbark forest.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/5/55/%E3%83%A6%E3%83%93%E3%83%8A%E3%82%AC%E3%82%B3%E3%82%A6%E3%83%A2%E3%83%AA.jpg
Gould's Long-eared Bat,Nyctophilus gouldi,Dark brown to dark grey in colour with a light grey underside. Very long ears that fold down when at rest.,Dark brown to dark grey in colour with a light grey underside. Very long ears that fold down when at rest. Wings are short and wide. Body size up to 5.8 cm.,"Sclerophyll forests and woodland, including forest remnants.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/9/94/Chalinolobus_gouldi-Cayley.jpg
Grey-headed Flying-fox,Pteropus poliocephalus,"Grey fur, orange around neck, lower legs furred.","Body fur grey with a golden-orange ring around the neck. Fur on lower legs. Wingspan up to 1 m, body up to 29 cm.","Lowland forest, coastal stringybark, agricultural and urban areas.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/8/86/Grey_headed_flying_fox_-_Mating_behaviour_-_AndrewMercer_-_DSC11277_-_crop.jpg
Inland Free-tailed Bat,Ozimops petersi,A small stout bat with a long muzzle and a tail that is partially free from its membrane.,"This bat has a flattened head and body, which enables it to crawl into small crevices to roost. The ears lie quite flat and almost join at the front, giving it the appearance of a jet-fighter. The upper lip overhangs the lower lip and on it are sparse, stiff hairs. The tail extends beyond the tail membrane for about half its length. The wings are long and narrow, adapted for fast flight. Forearm length is 31 to 40 mm. Head and body length is up to 10.5 cm.","Can occupy a wide variety of habitats, from agricultural land to open woodlands and treeless plains.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,
Lesser Long-eared Bat,Nyctophilus geoffroyi,Ears join at the bottom on top of the head.,"Body fur light grey-brown, white underneath. Ears very long and joined above the forehead. Body up to 5 cm long.","Forests, woodlands, mallee, farmland and urban areas.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lesser_Long-eared_Bat_%28Nyctophilus_geoffroyi%29_%288656888933%29.jpg
Little Forest Bat,Vespadelus vulturnus,A tiny brown bat with white projections on its ears.,"Body fur brown to grey-brown, paler underneath. Ears with white projections (tragus). Raised forehead. Wingspan up to 15 cm, body up to 5 cm.",Forest and woodland areas.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/e/eb/Vespadelus_vulturnus_thumb.jpg
Little Red Flying-fox,Pteropus scapulatus,"Brown-red fur, orange around neck.","Body fur red-brown with golden-orange around the neck. Wings dark brown. Wingspan up to 90 cm, body up to 20 cm.","Forests and woodlands, mainly in coastal and subcoastal regions.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/7/74/Little_red_flying_fox_2016.png
White-striped Freetail-bat,Austronomus australis,"White stripes on body, ribbed ears that point forward.","Body fur brown above and lighter underneath. Wide white stripes on each side of the body. Ears point forward, and are wide and ribbed. Wingspan up to 40 cm, body up to 10 cm.",Woodland and urban areas.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,
Yellow-bellied Sheathtail-bat,Saccolaimus flaviventris,Medium-sized bat with jet-black back and yellow or cream belly.,"Glossy jet-black back with contrasting yellow or cream belly fur. Head and face are long and somewhat pointed and eyes are quite large. Males have a well-developed throat pouch, associated with a gland. In females the pouch is a simple fold of skin. As in all sheath-tailed bats, the tail protrudes from the tail membrane about half way along it length. Wings long and narrow and the forearm is 66 to 82 mm long. Head, body and tail to 20 cm.",Range of habitats from open deserts to eucalypt forest.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/4/44/Saccolaimus_flaviventris_Museum_Victoria.jpg
Greenhead Ant,Rhytidoponera metallica,Rough pattern on the head and thorax.,Body dark with a rough pattern on the head and thorax. Body of worker up to 6 mm long.,"Urban areas, woodlands, heath, arid areas.","Painful sting, sometimes causes allergic reaction. ",2,Insects,https://upload.wikimedia.org/wikipedia/commons/e/e0/Rhytidoponera_metallica_body_shot.jpg
Jumper Ant,Myrmecia pilosula,"Yellow jaws, yellow tips of legs.",Body black with yellow jaws and yellow tips of legs. Worker body up to 1 cm long.,"Open forest and woodland, urban areas.","Painful sting, sometimes causes allergic reaction. ",2,Insects,https://upload.wikimedia.org/wikipedia/commons/d/d8/Shattuck_C25795-1%2C_ANIC32-023626%2C_Myrmecia%2C_near_Bungendore%2C_NSW.png
Meat Ant,Iridomyrmex purpureus,Purple body.,Body colour dark purplish-brown. Worker body up to 1 cm long.,"Sandy or gravelly soils in urban areas, forests, woodlands and heathlands.",Worker ants are capable of biting and secreting defensive fluid from their abdomen. ,2,Insects,https://upload.wikimedia.org/wikipedia/commons/a/a6/Meat_eater_ant_feeding_on_honey02.jpg
Red-headed Spider Ant,Leptomyrmex erythrocephalus,"Black body, orange head, long thin legs.","Body black and thin with long, narrow legs. Head orange. Superficially resembles a spider. Body of worker up to 6 mm long.","Urban areas, forests, woodlands and heath.","Painful sting, sometimes causes allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/2/25/Leptomyrmex_erythrocephalus_casent0011746_profile_1.jpg
Sugar Ant,Camponotus consobrinus,"Orange-brown legs and thorax, black head and abdomen.","Head black, abdomen mostly black, and thorax and legs orange-brown. Workers up to 2 cm long.","Urban areas, forests, woodland, heath, arid areas.","Larger individuals, the soldiers, can bite but do not sting. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/8/84/Black-headed_sugar_ant.jpg
Blue Banded Bee,Amegilla (Notomegilla) chlorocyanea,Blue and black stripes on abdomen.,Body covered in hairs. Abdomen with wide blue and black stripes. Body up to 1 cm long.,On vegetation.,"Painful sting, sometimes causes allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/b/b5/Amegilla_cingulata_on_long_tube_of_Acanthus_ilicifolius_flower.jpg
European Honey Bee,Apis (Apis) mellifera,Black and orange stripes across the body.,Body with wide black and orange stripes. Hair on the eyes. Body up to 2 cm long.,Flying or on vegetation.,"Painful sting, sometimes causing allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/4/4d/Apis_mellifera_Western_honey_bee.jpg
Blue Ant,Diamma bicolor,"Black body with white spots, or blue body with red legs.","Female: no wings, spiny legs, shiny and blue with orange-red antennae and legs. Male: wings, black with white spots. Body up to 3 cm long.","Grasslands, pastures and urban areas.",Females have a painful sting; sting sometimes causes allergic reaction. ,2,Insects,https://upload.wikimedia.org/wikipedia/commons/6/68/Female_blue_ant04.jpg
Common Mud-dauber,Sceliphron laetum,"Black and yellow, thin body.",Body black and yellow with a long thin waist. Body up to 3 cm long.,Urban areas.,"The Mud-dauber Wasp can deliver painful stings, but attacks are rare. An ice pack may be used to relieve the pain of the sting. If there is evidence of an allergic reaction, medical attention should be sought.",2,Insects,https://upload.wikimedia.org/wikipedia/commons/0/0d/Sceliphron_caementarium_MHNT_Profil.jpg
Common Paperwasp,Polistes (Polistella) humilis,"Yellow on face, orange-brown body.",Body narrow and orange-brown with darker stripes and a yellow face. Body up to 2 cm long.,Urban areas and woodlands.,"Painful sting, sometimes causes allergic reaction. ",2,Insects,https://upload.wikimedia.org/wikipedia/commons/f/f2/Polistes_humilis.jpg
Cream-spotted Ichneumon,Echthromorpha intricatoria,Black body with white spots.,Body black with white spots in a line on the abdomen and scattered on thorax. Legs and abdomen orange-red. Body up to 3 cm long.,"Forests, woodlands, heaths and urban areas.","It cannot sting and does not build nests, and is harmless to humans.",1,Insects,https://upload.wikimedia.org/wikipedia/commons/e/ea/Echthromorpha_intricatoria.jpg
Cuckoo Wasp,Stilbum cyanurum,Green-blue body.,"Body green-blue with armoured, plated back. Body up to 2 cm long.","Cuckoo wasps live in urban areas, forests and woodlands, and heath.","Female cuckoo wasps are widely believed to be unable to sting, the sting apparatus being reduced and supposedly non-functional, yet cases are known where people have received painful stings from larger species.",2,Insects,https://upload.wikimedia.org/wikipedia/commons/e/ed/Cuckoo_Wasp_0640.jpg
European Wasp,Vespula germanica,Black triangular markings on yellow abdomen.,"Body yellow with black triangular markings and paired black spots on the abdomen. Wings transparent, legs yellow and antennae black. Body up to 2 cm long.","Urban areas, forests, woodlands, heaths.","Painful sting, sometimes causes allergic reaction.",2,Insects,https://upload.wikimedia.org/wikipedia/commons/9/93/European_wasp_white_bg.jpg
Orchid Dupe Wasp,Lissopimpla excelsa,Dark red wasp with the base of the abdomen black with white spots. Females have a long egg-laying tube (ovipositor) at the tip of the abdomen.,"Dark red, most of abdomen black with a row of four white spots on each side. Wings smoky-brown. Female with long, thin ovipositor projecting from tip of abdomen.","Grassy areas, including suburban lawns.","Painful sting, sometimes causes allergic reaction. The stinger is used to deposit parasitic larvae. They usually don't attack humans.",2,Insects,https://upload.wikimedia.org/wikipedia/commons/f/f6/Lissopimpla_excelsa_%286536767405%29.jpg
Spider Hunting Wasp,Cryptocheilus bicolor,"Black and orange body, wings yellow-orange.","Body orange and black. Wings yellow-orange with black tips. Long, narrow legs. Body up to 4 cm long.","Urban areas, forests and woodlands, wetlands and heaths.",Spider wasps have a potentially painful sting. However they are not aggressive and are unlikely to use their venom on humans unless extremely provoked.,2,Insects,https://upload.wikimedia.org/wikipedia/commons/2/24/Sydney_Spider_Wasp.JPG
Carpet Python,Morelia spilota ,Pattern of spots or patches on body. ,"Body colour pattern varies, green-black with white or yellow spots, or pale to dark brown with black patches. Up to 4 m long. ","Forest and areas near water, also in urban areas.",Not venomous.,2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/0/0b/Australian-Carpet-Python.jpg
Bandy-bandy,Vermicella annulata ,Black and white stripes. ,Black with white stripes across the body. Up to 80 cm long. ,Most areas.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/8/8c/Eastern_Bandy-bandy%2C_Vermicella_annulata_%2823111409351%29.jpg
Coral Snake ,Brachyurophis australis,"Pink to red-brown, dark stripes across body, black stripes across head and neck. ",Pink to red-brown with mottled dark brown and white stripes across the body and black stripes across the neck and head. Underneath white. Up to 50 cm long. ,Mallee and woodland areas.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/8/8a/Coral_snake.jpg
Eastern Small-eyed Snake ,Cryptophis nigrescens ,"Body black, pale white to pink underneath. ","Body dark grey to black, white underneath. Up to 50 cm long. ","Most areas, including forests, woodlands, heathlands and rocky outcrops.",Dangerously venomous and bite can be fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/e/e8/Rhinoplocephalus_nigrescens.jpg
Highland Copperhead,Austrelaps ramsayi ,"Grey to red-brown, lips with dark vertical stripes and white edges around scales. ","Body light grey to red-brown, pale white-yellow to pink-orange underneath. Lips with dark vertical stripes and adjacent scales with white edges. Up to 1.2 m long. ",Damp areas at high altitude.,"Dangerously venomous and bite can be fatal.
",4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/0/04/Highlands_Copperhead_%2821677870211%29.jpg
Little Whip Snake,Parasuta flagellum,"Brown body, head black with a pale stripe across the nose, side of face light brown.","Body brown, paler underneath. Head black from nose to neck, with a pale brown stripe across the top of the nose. Lips, side of face and areas below the eyes are light brown. Up to 40 cm long.","Under rocks or logs, especially on stony hills close to grasslands or eucalypt woodlands.","Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/a/a4/Little_Whip_Snake_%28Parasuta_flagellum%29_%288654702624%29.jpg
Lowland Copperhead ,Austrelaps superbus,"Grey to red-brown, lips with faint vertical stripes.","Body light grey to red-brown, pale white-yellow to pink-orange underneath. Lips with faint vertical stripes. Up to 1.7 m long.","Damp habitats, such as near streams or swamps.",Dangerously venomous and bite can be fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/4/4f/LowlandcopperheadMullawallah.jpg
Masters' Snake,Drysdalia mastersii,"White stripe along lip, yellow stripe on top of neck, dark head",Body grey to brown. Head black or dark grey with a yellow to orange stripe across the top of the neck. Lip with white stripe along the edge. Up to 35 cm long.,Sand plains and dunes with grasses.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",3,Reptiles,
Mitchell's Short-tailed Snake,Parasuta nigriceps,"Brown body, head black from nose to neck, lip pale brown.","Body brown, paler underneath. Head black from nose to neck. Lip pale brown. Up to 50 cm long.",Mallee and woodland areas.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.
",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/7/77/Mitchells_Short-tailed_Snake_%28Parasuta_nigriceps%29_%288637612256%29.jpg
Red-bellied Black Snake,Pseudechis porphyriacus,"Shiny black, red underneath and along side.","Body black and shiny, underneath red to white often extending along the side. Up to 1.7 m long.","Usually near streams, swamps or lagoon areas.",Dangerously venomous and bite can be fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/0/02/Pseudechis_porphyriacus_%2835307320466%29.jpg
Strap-snouted Brown Snake,Pseudonaja aspidorhyncha,"Usually brown body, white-cream underneath.","Body colour varies, including red-brown, dull brown or black. Underneath white-yellow. Head and neck black. Up to 1.5 m long.","Dry arid areas, including mallee and woodlands.",Dangerously venomous and bite can be fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/b/b3/Pseudonaja_aspidorhyncha_2_-_Christopher_Watson.jpg
Tiger Snake,Notechis scutatus,Stripes across body.,"Body colour varies, including brown to green. Usually, but not always, with dark or light stripes across the body. Up to 2 m long.","Damp areas, dry sclerophyll forests and woodlands.",Dangerously venomous and bite can be fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/e/e4/Tiger_snake_2.jpg
White-lipped Snake,Drysdalia coronoides ,White stripe along lip.,"Body colour varies, including grey, brown or black. Underneath pale pink. Lip with white stripe along the edge. Up to 50 cm long.","Most areas, including heaths, sclerophyll forests and woodlands.","Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/0/0d/CSIRO_ScienceImage_7486_Whitelipped_Snake.jpg
Curl Snake,Suta suta,Light-coloured iris and small pupil,"It has a wide head and is dark brown or reddish brown in colour, with a distinctively darker head and paler under the flanks.","It most commonly inhabits grasslands, scrublands, and open woodlands, foraging amongst leaf litter and under rocks at night. It can be found occupying old burrows, in soil cracks, under woody debris, and under leaf litter.",Venom is neurotoxic and considered unsafe especially to small children.Bites from large specimens are considered especially dangerous.,3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/8/85/Suta_suta_3_-_Christopher_Watson.jpg
Yellow-faced Whip Snake,Demansia psammophis,"Slender and fast-moving snake, active during the day.","It is pale grey to brown in colour, with reddish colouring on the head, and sometimes on the tail as well. The belly is grey-green to yellowish.",Can be found in coastal forests to arid scrublands and grasslands in Australia’s interior. It is not uncommon to find more than one as they are community dwellers. Habitats in rock crevice’s and under logs are common community habitats with communities often aggregating in winter months.,"The Yellow-faced Whip Snake is a venomous snake, but is not considered dangerous. However, a bite could be extremely painful, with much local swelling.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/e/eb/Yellow-faced_Whip-Snake_kobble08.jpg
Common Death Adder,Acanthophis antarcticus,"Triangular-shaped head, short stout body and thin tail.","The Common Death Adder is easily recognised by its triangular-shaped head, short stout body and thin tail.","Common death adders are found in forests, woodlands, grasslands and heaths of the eastern coast of Australia. The death adder is a master of camouflage, due to its band stripes, hiding beneath loose leaf litter and debris in woodland, shrubland and grassland.","Death adders have relatively large fangs and toxic venom and, before the introduction of antivenom, about 60% of bites to humans were fatal.",4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/5/5a/CSIRO_ScienceImage_3990_Death_Adder.jpg
Dwyer's Snake,Parasuta dwyeri,Cylindrical brown body with a slender to medium build,"It has a cylindrical brown body with a slender to medium build. The head is short and somewhat widened so as to be distinct from the neck. The tail is short as well, and the dorsal scales are smooth. The eye is medium-sized, with a vertically elliptical pupil.","Dwyer's snake is a secretive, nocturnal snake that seeks shelter under rocks, debris, and ground litter, and may make its home in burrows made and abandoned by other creatures. Open woodland, grassland, and rocky areas are its preferred natural habitats.",Dwyer's snake is inoffensive and mostly harmless. But bites are venomous but not enough to be fatal,2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/e/e7/Dwyers_Snake_%28Parasuta_dwyeri%29_%289105384525%29.jpg
Bardick,Echiopsis curta,"The bardick has a solid body color; either tan, reddish brown, brown, or grey.","The head is visually distinct from the body. These snakes are rather stout, have pointed tails, and have elliptical pupils. The size of these snakes on average is around 40 cm.","It inhabits semiarid grasslands and shrublands, and is usually found under rocks, debris, fallen vegetation, etc.","Bites are venomous but no bites have been recorded, it is listed as Near Threatened in Victoria.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/7/73/22_mars_%2824%29.JPG
Northern Brown Snake,Pseudonaja nuchalis,"Highly venomous.Its colour and pattern are rather variable, depending largely on its location.","The northern brown snake grows up to 1.8 m in total length. Its back can feature shades of orange-brown with flecks and bands, or appear plain. Its belly is cream to orange with pink blotches. Some individuals have jet black heads, while others feature a black 'V' shape on the back of their neck, below their head.","The northern brown snake is a ground-dwelling snake that prefers drier habitats, but is also found in coastal eucalypt forests, woodlands, and grasslands. Although the northern brown is not an arboreal species, not uncommon it climbs small shrubs or trees. It also hides in crevices and under rocks, and in urban areas can be found under rubbish or tin piles.","Its venom contains neurotoxins, nephrotoxins, and a procoagulant, although humans are not usually affected by the neurotoxins. The bite is usually painless and difficult to see due to their small fangs. Human symptoms of a northern brown snake bite are headache, nausea/vomiting, abdominal pain, severe coagulopathy, and sometimes kidney damage.",4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/f/f9/Western_Brown_snake.jpg
De Vis' Banded Snake,Denisonia devisi,"Short, thick, and slightly flat, yellowish body.","Short, thick, and slightly flat. The eyes are set at the top of the head and have a conspicuous iris. The dorsal surface of the body is yellowish-brown to olive-green in colour, broken by irregular, ragged-edged, narrow, dark bands running across the body. ","The mud adder is a sluggish snake inhabiting low-lying areas, particularly near sites subjected to seasonal flooding. During the day, this snake stays in the soil cracks or deep cavities and emerges at night to feed on frogs.","Venomous, no bites were recorded. Treat with caution.",2,Reptiles,
Mallee Black-headed Snake,Parasuta spectabilis,Grayish black head and neck.,"The top of the head and the nape of the neck are grayish black, and the upper labials are whitish. There is a vertebral stripe or zone, about five scale rows wide, which is also grayish black. The lateral dorsal scales are reddish brown or purplish brown. The venter is whitish","Forest, savanna, and shrubland.","Venomous, no bites were recorded. Treat with caution.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/7/77/Mitchells_Short-tailed_Snake_%28Parasuta_nigriceps%29_%288637612256%29.jpg
Dark-spined Blind Snake,Anilios bicolor,"Small, blackish with white belly.",No information available.,They are found wherever ants and termites (their main food supply) are plentiful.,Harmless but smelly.,1,Reptiles,
Proximus Blind Snake,Anilios proximus,Dark brown and glossy in appearance with very small eyes.,"It has an average length of 50cm, but can reach 75cm. It is dark brown and glossy in appearance with very small eyes, bluntly trilobed snout, 20 mid body scales and no noticeable head.They can often be mistaken for earthworms.",They are found wherever ants and termites (their main food supply) are plentiful.,Harmless but smelly.,1,Reptiles,
Southern Blind Snake,Anilios australis,Dark brown and glossy in appearance with very small eyes.,No information available.,They are found wherever ants and termites (their main food supply) are plentiful.,Harmless but smelly.,1,Reptiles,
Blackish Blind Snake,Anilios nigrescens,"Brown/purplish on top, with a light shade of pink on the belly.","It is a small burrowing snake with small dark eyes, a forked tongue and smooth scale around its body which permits them to travel through soil.","Found in loamy soils, under rocks, in or under rotting logs or in ant or termite nests.",Harmless but smelly.,1,Reptiles,
Red-naped Snake,Furina diadema,"Small black eyes, a shiny black head, and neck.","The red-naped snake has small black eyes, a shiny black head, and neck. Its head appears to be partially flattened. On the upper lip is a streak of white. On the back of the neck there is a well defined patch of orange or red in the shape of a diamond, crescent or oval. The belly can be either a cream colour or white. The remainder of the body is a red-brown colour.","Found in dry woodlands and forests, coastal forests and heaths,tussock grasslands and shrublands. It generally stays away from wet areas, like rainforests. They shelter under rocks and fallen timber, in ant or termite nests, under wood piles, leaves, old sheets of iron, in crevices and abandoned burrows.","Although red-naped snakes are venomous, they are considered harmless to humans. If threatened they will strike out several times with their forebody held in the air, most often with a closed mouth.",3,Reptiles,https://upload.wikimedia.org/wikipedia/commons/3/37/Furina_diadema_-_Red-naped_Snake_%2853f003e83dffffd6d9b8ed45%29.jpg
Black-bellied Swamp Snake,Hemiaspis signata,"A small to medium-sized snake with distinctive white markings on the side of the head, and a very dark colour to the under-side of the body.","Olive to brown above with a pale stripe from behind the eye to the neck and another pale stripe on the upper lip. The underside is black or dark grey. Occasional individuals may be black over most of the body, particularly in rainforest habitats. Body length up to 75 cm.","Rainforest & moist well-vegetated areas such as wet sclerophyll forest, margins of creeks, dams, wetlands & low-lying seasonally flooded areas.","Venomous, but not highly dangerous to humans.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/7/73/Black-bellied_Swamp_Snake_%28Hemiaspis_signata%29.jpg
Common Tree Snake,Dendrelaphis punctulatus,A slender green climbing snake that is active by day and has a yellow belly.,"Olive green to almost black (sometimes blue) above. Usually bright yellow below (colour most intense under chin) but may be white, green or bluish. Back scales smooth. Ventral scales bearing two angular ridges towards outer edges.","The common tree snake lives in a wide variety of habitats, including: bushland; well vegetated banks of rivers, creeks and streams; rainforest edges; eucalypt forests; heathland and areas with trees, long grass, and lush vegetation – especially near water.It can be found at altitudes from sea level to 500 m.","Usually harmless, but can bite.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/c/c1/Dendrophis_prasimus.jpg
Freshwater Snake,Tropidonophis mairii,A grey to olive snake with keeled-scales and an orange flush on the sides of the belly.,"Grey, brown or olive above with irregular dark cross bands (bands may be broken). Cream or greenish below with orange flush at edge of belly. Back scales strongly keeled, in 15 (rarely 17) rows at midbody.","Freshwater snakes are happy to dwell near any type of significant water source, such as rivers, lakes, ponds and marshes, though they prefer relatively quiet waters.","Usually harmless, but can bite.",2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/2/22/Tropidonophis_mairii_01.jpg
Diamond Python,Morelia spilota spilota,Spines on back of neck.,Line of ridged scales along the back. Tail laterally compressed; neck with a distinct crest. Up to 25 cm long (snout-vent).,They are expert tree climbers and perfectly camouflage in forest and woodland areas.,Large adult Water Dragons will appear confident and friendly however they should not be approached as they have very sharp claws and can deliver a serious bite.,2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/f/f8/Diamond_python.jpg
Eastern Brown Snake,Pseudonaja textilis,Usually brown body.,"Body colour varies, usually brown. Young snakes have a black head and occasionally dark stripes across the body. Up to 2 meters longs.","Most areas including coastal health, dry sclerophyll forests and woodlands.",Dangerously venomous and bite and can fatal.,4,Reptiles,https://upload.wikimedia.org/wikipedia/commons/d/de/Eastern_Brown_Snake_-_Kempsey_NSW.jpg
Eastern Water Dragon,Intellagama lesueurii,Spines on back of neck.,Line of ridged scales along the back. Tail laterally compressed; neck with a distinct crest. Up to 25 cm long (snout-vent).,Around logs and fallen branches.,Large adult Water Dragons will appear confident and friendly however they should not be approached as they have very sharp claws and can deliver a serious bite.,2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/a/a0/Eastern_Water_Dragon_Full.JPG
