commonName,scientificName,briefDescription,identification,biology,riskToHuman,diet,dangerLevel,group,imageUrl
Carpet Python,Morelia spilota ,Pattern of spots or patches on body. ,"Body colour pattern varies, green-black with white or yellow spots, or pale to dark brown with black patches. Up to 4 m long. ","Carpet Pythons live in the most diverse range of habitat types of any Australian python. They eat reptiles, birds and mammals, some as large as wallabies. They are mostly active at night.",Not venomous.,Carnivore,2,Reptiles,https://upload.wikimedia.org/wikipedia/commons/0/0b/Australian-Carpet-Python.jpg
Bandy-bandy,Vermicella annulata ,Black and white stripes. ,Black with white stripes across the body. Up to 80 cm long. ,Bandy Bandys kink the middle of their body into a raised loop when threatened. They are active at night and are thought to only eat blind snakes.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",Carnivore,3,Reptiles,
Coral Snake ,Brachyurophis australis,"Pink to red-brown, dark stripes across body, black stripes across head and neck. ",Pink to red-brown with mottled dark brown and white stripes across the body and black stripes across the neck and head. Underneath white. Up to 50 cm long. ,Coral Snakes shelter under logs during the day and emerge at night to hunt lizards. Females give birth to live young.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",Carnivore,3,Reptiles,
Eastern Small-eyed Snake ,Cryptophis nigrescens ,"Body black, pale white to pink underneath. ","Body dark grey to black, white underneath. Up to 50 cm long. ",Common Brown Snakes mostly eat lizards and mammals. Females lay up to 35 eggs in cracks in soil.,Dangerously venomous and bite can be fatal.,Carnivore,4,Reptiles,
Highland Copperhead,Austrelaps ramsayi ,"Grey to red-brown, lips with dark vertical stripes and white edges around scales. ","Body light grey to red-brown, pale white-yellow to pink-orange underneath. Lips with dark vertical stripes and adjacent scales with white edges. Up to 1.2 m long. ","Highland Copperheads feed on frogs, lizards and small mammals. Females give birth to up to 30 live young in mid to late summer.","Dangerously venomous and bite can be fatal.
",Carnivore,4,Reptiles,
Little Whip Snake,Parasuta flagellum,"Brown body, head black with a pale stripe across the nose, side of face light brown.","Body brown, paler underneath. Head black from nose to neck, with a pale brown stripe across the top of the nose. Lips, side of face and areas below the eyes are light brown. Up to 40 cm long.","Little Whip Snakes are mainly active at night. They hunt mainly small lizards, and females give birth to about seven live young.","Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",Carnivore,3,Reptiles,
Lowland Copperhead ,Austrelaps superbus,"Grey to red-brown, lips with faint vertical stripes.","Body light grey to red-brown, pale white-yellow to pink-orange underneath. Lips with faint vertical stripes. Up to 1.7 m long.","Lowland Copperheads feed on frogs, lizards and small mammals. Females give birth to up to 30 live young in mid to late summer.",Dangerously venomous and bite can be fatal.,Carnivore,4,Reptiles,
Masters' Snake,Drysdalia mastersii,"White stripe along lip, yellow stripe on top of neck, dark head",Body grey to brown. Head black or dark grey with a yellow to orange stripe across the top of the neck. Lip with white stripe along the edge. Up to 35 cm long.,Masters' Snakes mainly eat lizards and sometimes frogs.,"Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",Carnivore,3,Reptiles,
Mitchell's Short-tailed Snake,Parasuta nigriceps,"Brown body, head black from nose to neck, lip pale brown.","Body brown, paler underneath. Head black from nose to neck. Lip pale brown. Up to 50 cm long.","Mitchell's Short-tailed Snakes hunt mainly small lizards and small snakes, including their own species. Females give birth to about seven live young.","Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.
",Carnivore,3,Reptiles,
Red-bellied Black Snake,Pseudechis porphyriacus,"Shiny black, red underneath and along side.","Body black and shiny, underneath red to white often extending along the side. Up to 1.7 m long.","Red-bellied Black Snakes are active during the day. During the breeding season, in spring, males compete with one another for females. The females produce up to 16 live young when they give birth.",Dangerously venomous and bite can be fatal.,Carnivore,4,Reptiles,
Strap-snouted Brown Snake,Pseudonaja aspidorhyncha,"Usually brown body, white-cream underneath.","Body colour varies, including red-brown, dull brown or black. Underneath white-yellow. Head and neck black. Up to 1.5 m long.","Strap-snouted Brown Snakes mostly eat lizards and mammals. When threatened, they raise the front of their body in an ""S"" shape.",Dangerously venomous and bite can be fatal.,Carnivore,4,Reptiles,
Tiger Snake,Notechis scutatus,Stripes across body.,"Body colour varies, including brown to green. Usually, but not always, with dark or light stripes across the body. Up to 2 m long.","Tiger Snakes are active during the day, but sometimes also at night in warm weather. Females give birth to about 30 live young.",Dangerously venomous and bite can be fatal.,Carnivore,4,Reptiles,
White-lipped Snake,Drysdalia coronoides ,White stripe along lip.,"Body colour varies, including grey, brown or black. Underneath pale pink. Lip with white stripe along the edge. Up to 50 cm long.","White-lipped Snakes are one of the most cold-adapted snakes in Australia, surviving at high altitudes and southern latitudes where few other snake species live. They mainly eat lizards and lizard eggs.","Not thought to be highly dangerous to humans, but any snake bite must be treated with caution.",Carnivore,3,Reptiles,
Curl Snake,Suta suta,Light-coloured iris and small pupil,"It has a wide head and is dark brown or reddish brown in colour, with a distinctively darker head and paler under the flanks.","It most commonly inhabits grasslands, scrublands, and open woodlands, foraging amongst leaf litter and under rocks at night. It can be found occupying old burrows, in soil cracks, under woody debris, and under leaf litter.",Venom is neurotoxic and considered unsafe especially to small children.Bites from large specimens are considered especially dangerous.,Carnivore,3,Reptiles,
Yellow-faced Whip Snake,Demansia psammophis,"Slender and fast-moving snake, active during the day.","It is pale grey to brown in colour, with reddish colouring on the head, and sometimes on the tail as well. The belly is grey-green to yellowish.","The Yellow-faced Whip Snake is found in a wide range of habitats, except swamps and rainforest, from the coast to the arid interior.","The Yellow-faced Whip Snake is a venomous snake, but is not considered dangerous. However, a bite could be extremely painful, with much local swelling.",Carnivore,2,Reptiles,
Common Death Adder,Acanthophis antarcticus,"Triangular-shaped head, short stout body and thin tail.","The Common Death Adder is easily recognised by its triangular-shaped head, short stout body and thin tail.","The Common Death Adder lives in forests and woodlands, grasslands and heath.","Death adders have relatively large fangs and toxic venom and, before the introduction of antivenom, about 60% of bites to humans were fatal.",Carnivore,4,Reptiles,
Dwyer's Snake,Parasuta dwyeri,Cylindrical brown body with a slender to medium build,"It has a cylindrical brown body with a slender to medium build. The head is short and somewhat widened so as to be distinct from the neck. The tail is short as well, and the dorsal scales are smooth. The eye is medium-sized, with a vertically elliptical pupil.","It is a secretive, nocturnal snake that seeks shelter under rocks, debris, and ground litter, and may make its home in burrows made and abandoned by other creatures. Open woodland, grassland, and rocky areas are its preferred natural habitats.",Dwyer's snake is inoffensive and mostly harmless. But bites are venomous but not enough to be fatal,Carnivore,2,Reptiles,
Bardick,Echiopsis curta,"The bardick has a solid body color; either tan, reddish brown, brown, or grey.","The head is visually distinct from the body. These snakes are rather stout, have pointed tails, and have elliptical pupils. The size of these snakes on average is around 40 cm.","It inhabits semiarid grasslands and shrublands, and is usually found under rocks, debris, fallen vegetation.","Bites are venomous but no bites have been recorded, it is listed as Near Threatened in Victoria.",Carnivore,2,Reptiles,
Northern Brown Snake,Pseudonaja nuchalis,"Highly venomous.Its colour and pattern are rather variable, depending largely on its location.","The northern brown snake grows up to 1.8 m in total length. Its back can feature shades of orange-brown with flecks and bands, or appear plain. Its belly is cream to orange with pink blotches. Some individuals have jet black heads, while others feature a black 'V' shape on the back of their neck, below their head.","The northern brown snake is a ground-dwelling snake that prefers drier habitats, but is also found in coastal eucalypt forests, woodlands, and grasslands. Although the northern brown is not an arboreal species, not uncommon it climbs small shrubs or trees. It also hides in crevices and under rocks, and in urban areas can be found under rubbish or tin piles.","Its venom contains neurotoxins, nephrotoxins, and a procoagulant, although humans are not usually affected by the neurotoxins. The bite is usually painless and difficult to see due to their small fangs. Human symptoms of a northern brown snake bite are headache, nausea/vomiting, abdominal pain, severe coagulopathy, and sometimes kidney damage.",Carnivore,4,Reptiles,
De Vis' Banded Snake,Denisonia devisi,"Short, thick, and slightly flat, yellowish body.","Short, thick, and slightly flat. The eyes are set at the top of the head and have a conspicuous iris. The dorsal surface of the body is yellowish-brown to olive-green in colour, broken by irregular, ragged-edged, narrow, dark bands running across the body. ","The mud adder is a sluggish snake inhabiting low-lying areas, particularly near sites subjected to seasonal flooding. During the day, this snake stays in the soil cracks or deep cavities and emerges at night to feed on frogs.","Venomous, no bites were recorded. Treat with caution.",Carnivore,3,Reptiles,
Mallee Black-headed Snake,Parasuta spectabilis,Grayish black head and neck.,"The top of the head and the nape of the neck are grayish black, and the upper labials are whitish. There is a vertebral stripe or zone, about five scale rows wide, which is also grayish black. The lateral dorsal scales are reddish brown or purplish brown. The venter is whitish","Habitats  are forest, savanna, and shrubland.","Venomous, no bites were recorded. Treat with caution.",Carnivore,2,Reptiles,
Dark-spined Blind Snake,Anilios bicolor,"Small, blackish with white belly.",No information available.,No information available.,Harmless but smelly.,Carnivore,1,Reptiles,
Proximus Blind Snake,Anilios proximus,Dark brown and glossy in appearance with very small eyes.,"It has an average length of 50cm, but can reach 75cm. It is dark brown and glossy in appearance with very small eyes, bluntly trilobed snout, 20 mid body scales and no noticeable head.They can often be mistaken for earthworms.","Predominately nocturnal and non-venomous, it is a burrowing snake which spends most of its life beneath leaf litter or underground. It is rarely seen in daytime, but would make incidental appearances after heavy rainfall or warm moist nights using rocks and debris for shelter.",Harmless but smelly.,Insects,1,Reptiles,
Southern Blind Snake,Anilios australis,Dark brown and glossy in appearance with very small eyes.,No information available.,"Predominately nocturnal and non-venomous, it is a burrowing snake which spends most of its life beneath leaf litter or underground. It is rarely seen in daytime, but would make incidental appearances after heavy rainfall or warm moist nights using rocks and debris for shelter.",Harmless but smelly.,Insects,1,Reptiles,
Blackish Blind Snake,Anilios nigrescens,"Brown/purplish on top, with a light shade of pink on the belly.","It is a small burrowing snake with small dark eyes, a forked tongue and smooth scale around its body which permits them to travel through soil.","The species lives most of its life underground feeding on ants, termites and their larvae",Harmless but smelly.,Insects,1,Reptiles,
Red-naped Snake,Furina diadema,"Small black eyes, a shiny black head, and neck.","The red-naped snake has small black eyes, a shiny black head, and neck. Its head appears to be partially flattened. On the upper lip is a streak of white. On the back of the neck there is a well defined patch of orange or red in the shape of a diamond, crescent or oval. The belly can be either a cream colour or white. The remainder of the body is a red-brown colour.","The red-naped snake is a terrestrial species that is found in many parts of eastern Australia: in dry woodlands and forests, coastal forests and heaths, tussock grasslands and shrublands. It generally stays away from wet areas, like rainforests. They shelter under rocks and fallen timber, in ant or termite nests, under wood piles, leaves, old sheets of iron, in crevices and abandoned burrows.","Although red-naped snakes are venomous, they are considered harmless to humans. If threatened they will strike out several times with their forebody held in the air, most often with a closed mouth.",Carnivore,3,Reptiles,
Black-bellied Swamp Snake,Hemiaspis signata,"A small to medium-sized snake with distinctive white markings on the side of the head, and a very dark colour to the under-side of the body.","Olive to brown above with a pale stripe from behind the eye to the neck and another pale stripe on the upper lip. The underside is black or dark grey. Occasional individuals may be black over most of the body, particularly in rainforest habitats. Body length up to 75 cm.","Mainly diurnal, but becomes semi-nocturnal in warm weather. Its diet consists mainly of frogs and skinks. Found in Moist areas such as wet forests, scrubs adjacent to swamps and lagoons, and creek-side vegetation.","Venomous, but not highly dangerous to humans.",Carnivore,2,Reptiles,
Common Tree Snake,Dendrelaphis punctulatus,A slender green climbing snake that is active by day and has a yellow belly.,"Olive green to almost black (sometimes blue) above. Usually bright yellow below (colour most intense under chin) but may be white, green or bluish. Back scales smooth. Ventral scales bearing two angular ridges towards outer edges.","A fast-moving, arboreal species. Distinct ridges along the belly scales assist with climbing. If threatened will distend body showing flecks of pale blue skin between the scales. This species is capable of producing an unpleasant odour from anal glands if handled. Found in open forests, rainforests, agricultural lands and urban areas.","Usually harmless, but can bite.",Carnivore,2,Reptiles,
Freshwater Snake,Tropidonophis mairii,A grey to olive snake with keeled-scales and an orange flush on the sides of the belly.,"Grey, brown or olive above with irregular dark cross bands (bands may be broken). Cream or greenish below with orange flush at edge of belly. Back scales strongly keeled, in 15 (rarely 17) rows at midbody.","Active both day and night. This is one of the few native vertebrates capable of eating the introduced Cane Toad, which has highly toxic skin secretions. Capable of producing a strong-smelling secretion from its anal glands when alarmed. Usually found in moist areas, often associated with watercourses and wetlands (open forests, wet sclerophyll and agricultural/urban settings).","Usually harmless, but can bite.",Carnivore,2,Reptiles,
Diamond Python,Intellagama lesueurii,Spines on back of neck.,Line of ridged scales along the back. Tail laterally compressed; neck with a distinct crest. Up to 25 cm long (snout-vent).,"Eastern Water Dragons are active during the day, feeding on a range of plants and animals. They are often observed perched on fallen trees, logs or rocks beside flowing water. When startled, they will dive into the water where they can remain submerged for up to an hour. Females lay a clutch of 6-17 eggs.",Large adult Water Dragons will appear confident and friendly however they should not be approached as they have very sharp claws and can deliver a serious bite.,Omnivore,2,Reptiles,
Eastern Brown Snake,Tiliqua nigrolutea,"A long body, large head and short legs and toes.","Blue-tongues have a long body, large head and short legs and toes. The tail is shorter than the body and generally tapers evenly to a point. Male blue-tongues have a proportionally larger head and stockier body than females but females grow slightly bigger than males.",Blue-tongues usually live in open country with lots of ground cover such as tussocky grasses or leaf litter. They shelter at night among leaf litter or under large objects on the ground such as rocks and logs.,"A bite from an adult blue-tongue can cause pain, break the skin and leave a bruise but there is no venom and hence no long-term ill effect. However the bite site should be cleaned with a mild disinfectant, as with any animal bite.",Omnivore,2,Reptiles,
Water Dragon,Pogona vitticeps,"Spines in rows along side of body, spiny 'beard' below neck.",Body with lines of ordered spines on the sides between the front and hind legs. Barbed scales under the chin form a 'beard'. Up to 25 cm long (snout-vent).,"Central Bearded Dragons are active during the day, eating insects, small lizards, fruits and flowers. They are semi-arboreal, often seen sitting up on dead vegetation, on spinifex grass hummocks or up in small trees. Females lay up to 25 eggs in a clutch. Like the Bearded Dragon, they will often flee to a nearby burrow under a pile of dead vegetation when disturbed and will spread their spiny beards to reveal a pink inner mouth when they are threatened.","A bite from an adult Central Bearded Dragon can cause pain, break the skin and leave a bruise. Avoiding a bite from this species as not difficult as the lizard will puff, hiss, display and run away before resorting to biting, and only then if it feels physically threatened or severely agitated.",Carnivore,2,Reptiles,
Blotched Blue-tongue,Morelia spilota spilota,Pattern of spots or patches on body. ,"Quite variable in colour and pattern, typically being predominantly dark olive to black in colour with most dorsal scales having a yellow (or cream) spot in the centre.Along the body and tail are numerous clusters of yellow or cream scales that form ""rosettes"" that look a bit like diamonds (hence the common name). The underside is white, cream or even yellowish in colour, although it is often spotted with black.","The diamond python is typically inoffensive by nature and generally reluctant to bite. This python is an ambush predators with large territories that often overlap. It moves around these territories seasonally to occupy well camouflaged positions in the warmer months and brumate in the winter months. Females have ranges up to 120 acres; males may occupy areas almost twice as large. The diamond python is often active during the day and on warm nights, although most of its time is spent waiting in ambush for passing prey.",,Carnivore,2,Reptiles,
Central Bearded Dragon,Tiliqua scincoides,Silvery-grey with broad dark brown or blackish bands across the back and tail.,"The Eastern Blue-tongue is silvery-grey with broad dark brown or blackish bands across the back and tail. Individuals on the coast usually have a black stripe between the eye and the ear which may extend along the side of the neck. The Blotched Blue-tongue is dark chocolate brown to black with large pink, cream or yellow blotches on the back, and a tail banded in the same colours.The Eastern Blue-tongue can grow to almost 600 mm in total length, of which about 360 mm is head and body.","Blue-tongues usually live in open country with lots of ground cover such as tussocky grasses or leaf litter. They shelter at night among leaf litter or under large objects on the ground such as rocks and logs. Early in the morning blue-tongues emerge to bask in sunny areas before foraging for food during the warmer parts of the day. Like all lizards, blue-tongues do not produce their own body heat, and rely on the warmth of their surroundings to raise their body temperature. Blue-tongues maintain a body temperature of about 30°C - 35°C when active. During cold weather they remain inactive, buried deep in their shelter sites, but on sunny days they may emerge to bask.","A bite from an adult blue-tongue can cause pain, break the skin and leave a bruise but there is no venom and hence no long-term ill effect. However the bite site should be cleaned with a mild disinfectant, as with any animal bite.",Omnivore,2,Reptiles,
Eastern Blue-tongue,Pseudonaja textilis,Body colour may be almost any shade of brown.,"A medium sized snake, with a slender to moderate build and a smallish head barely distinct from the neck. Body colour may be almost any shade of brown, ranging from near black to light tan, chestnut or burnt-orange. ","Eastern Brown Snakes can be found across a wide range of habitats (excluding rainforest and alpine regions), however they seem to prefer open landscapes such as woodlands, scrublands, and savannah grasslands.","The venom contains powerful presynaptic neurotoxins, procoagulants, cardiotoxins and nephrotoxins, and successful envenomation can result in progressive paralysis and uncontrollable bleeding. Occasional fatalities have occurred as a result of bleeding into the brain due to coagulation disturbances.As the initial bite is generally painless and often difficult to detect, anyone suspected of receiving a bite from an Eastern Brown Snake should call for medical attention without delay.",Carnivore,4,Reptiles,
Shingle-back,Tiliqua rugosa,"Dark brown all over, with or without yellow spots.","The Shingleback has a very large head, a very short blunt tail and large rough scales. Males have a proportionally larger head and stockier body than females but females grow slightly bigger than males.",Shinglebacks usually live in open country with lots of ground cover such as tussocky grasses or leaf litter. They shelter at night among leaf litter or under large objects on the ground such as rocks and logs.,"A bite from an adult Shingleback Lizard can cause pain, break the skin and leave a bruise but there is no venom and hence no long-term ill effect. However the bite site should be cleaned with a mild disinfectant, as with any animal bite.",Omnivore,2,Reptiles,
